ID,Name,Email,Age,Date Joined,Country,Phone Number,Salary,Job Title,Subscribed
1,Megan Lopez,nancy63@schmidt.com,,,Canada,035-721-9686,43321.8,Data Analyst,
2,Melissa Parker,uhorne@yahoo.com,,05/08/2023,canada,535-010-5451,647835.3277034075,enginr,N
3,Joyce Smith,christinaclark@rivera.net,,12/21/2022,Canada,368-679-8303,51429.3,,Y
4,  Audrey Edwards ,donaldcooper@gmail.com,,10/16/2021,Mexico,678-875-1987,46138.76,Data Analyst,Y
5,Kayla Valdez,cduncan@maxwell.biz,65,10/27/2024,canada,267-788-6284,983923.2046556688,enginr,
6,Jeffery Martin,tracyjohnson@gmail.com,,11/07/2024,USA,(673)260-2673,65913.5,,N
7,Glenn Norton,andreahicks@parker-williams.com,,,Germany,1811968548,44676.72,Designer,N
8,Joyce Moore,kellyharrington@vargas.com,,08/09/2023, Germny,021-015-6452,57573.67,Manager,Y
9,Kari Park,william50@yahoo.com,58,,Mexico,318-403-0372,63279.57,manager,Yes
10,Brenda Johnson,andrewchandler@gmail.com,63,04/24/2024,canada,685.050.5817,73226.42,manager,Y
11,Susan Giles,tiffany45@yahoo.com,59,,Mexico,612-378-4185,43041.72,data analyst,Yes
12,Johnny Miller,ann89@yahoo.com,,09/04/2023,Germny,667-657-1761,620164.3323942033,Manager,Y
13,Chloe Hill,kaylafoster@miller.biz,,11/20/2022,mexico,063-860-5668,56892.51,,Y
14,Robert Hansen,mark59@bates.org,,07/02/2025,Canada,677-019-7880,N/A,,Yes
15,Brian Martin MD,qgreen@yahoo.com,,07/29/2025,Germny,927-994-1179,50647.84,manager,
16,Jonathan Brown,brandy99@bryant.com,29,08/22/2023,Canada,874-907-1846,82431.51,Data Analyst,
17,Shawn Molina,robert52@gmail.com,40,04/16/2022,UK,+1-079-220-1256x89001,650727.187798998,data analyst,N
18,Tina Jordan,lindseyjohnson@hotmail.com,24,08/13/2020,Mexico,550-072-3520,51983.75,Manager,No
19,Mary Hobbs,fernandezdavid@burton.com,,02/21/2023,U.K.,629-818-9127,37574.19,Engineer,Yes
20,Elizabeth Richardson,cameronherring@hotmail.com,,01/03/2024,canada,088-587-3744,80577.93,Manager,
21,Jennifer Mitchell,jameswoods@gmail.com,,09/12/2023,Canada,946-043-2421,62633.3,Engineer,
22,andrew lewis,steven21@gmail.com,,04/17/2021,canada,525-258-5475,54067.25,Engineer,No
23,Deborah Sosa,smithchad@martin.com,,06/26/2024,UK,892-886-5798,55662.95,,N
24,Gary Rubio,kendra99@lewis.com,,07/09/2023,U.K.,083-368-4599,439120.2248346514,Data Analyst,N
25,Tracy Moore,ajones@stuart.com,44,01/21/2024,U.K.,001-826-420-0116x93007,45111.21,Designer,Yes
26,Steve Welch,zfuller@hotmail.com,54,05/17/2021,canada,774-623-1740,71509.45,manager,N
27,Theresa Wong,nevans@hotmail.com,,01/26/2024,mexico,168-760-6231,42753.11,Designer,
28,Dr. Maurice Oconnor,shieldstodd@brown.com,,02/01/2023,United States,380-759-0830,855990.7430517694,Manager,N
29,Nancy Chang,sarah99@yahoo.com,62,06/20/2022,Germany,010-275-7956,73103.84,,Yes
30,Samantha Hughes,morgancourtney@sharp.biz,,08/22/2024,Germny,567-801-8365,54648.82,Designer,
31,Brandy Patel,xhall@johnson-williamson.com,,02/25/2022,U.K.,424-328-2921,68341.83,enginr,N
32,Amy Leonard,johnstonrebekah@gmail.com,,06/11/2023,mexico,378-209-4181,79490.95,data analyst,Y
33,David Bowman,njordan@yahoo.com,32,06/03/2021,United States,361-552-0362,N/A,Engineer,
34,Heather Riley,townsendtrevor@clark.net,,09/02/2023,Germny,010-742-7557,N/A,data analyst,No
35,Brian Spencer,brandon46@gmail.com,,05/27/2025,Germny,9392163603,46992.81,Desginer,
36,John Sanchez,gshelton@yahoo.com,,07/29/2021,Germany,014-988-7867,48732.31,Data Analyst,
37,Jonathan Ali,lisa41@hotmail.com,,09/24/2024,Canada,686-884-7096,43043.58,,Yes
38,Kevin Elliott,carrolljill@yahoo.com,,01/09/2023,U.K.,235-545-5204,73180.1,data analyst,Yes
39,Kathryn Little,rjenkins@gmail.com,,05/30/2021,United States,946-875-0657,56406.08,Desginer,Y
40,Kenneth Huynh,sandra32@williams.org,,07/14/2024,UK,225-398-7899x84488,58138.01,,N
41,Melissa Knight,williamgilbert@gmail.com,,04/03/2024,Canada,908-993-8717,71105.11,Manager,
42,Ricky Lee,ogarcia@winters.com,,01/15/2024,Germny,262-455-6795,69451.12,enginr,N
43,Jessica Molina,wellsluis@gonzalez-patterson.biz,,11/27/2023,United States,263-947-8669,86444.06,,
44,Richard Gray,alexander80@gmail.com,46,11/18/2021,Germny,145-986-0096,73576.83,manager,No
45,Keith Horton,markchapman@yahoo.com,21,10/26/2020,Canada,743-862-6275,50941.43,manager,Yes
46,Albert Santiago,yharper@hunt.net,63,01/05/2021,USA,714-507-0292,42711.52,enginr,
47,kathleen hall,kylejohnson@osborne.biz,63,10/13/2020,Canada,685-685-0929,37488.47,Desginer,Y
48,susan lindsey,vanessa39@williams.net,,09/09/2024,United States,(594)480-9260,46603.2,Engineer,
49,Michael Schmidt PhD,briandennis@hotmail.com,,,Germany,703-377-3781,N/A,Engineer,Yes
50,Kristopher Brown,jeffrey92@patterson.com,,10/23/2024,Germny,309-535-8413,54977.74,Designer,N
51,William Gonzalez,rserrano@smith-evans.com,,,canada,859-241-3829,53332.52,Manager,No
52,Allison Paul,robert68@lee.biz,,11/02/2023,U.K.,881-632-0021,34963.01,Desginer,
53,Darren Stark,michael84@ramirez.com,,06/06/2025,Canada,015-973-4411,74180.73,enginr,N
54,Julia Henry,tonya93@archer-long.org,24,11/02/2022,U.K.,152-799-6335,78996.1,Data Analyst,
55,Jennifer Raymond,schultzlisa@smith.com,,12/20/2020,canada,246-572-1489,N/A,enginr,Y
56,dylan lopez,mullinsshawn@russell.com,49,03/15/2022,USA,185.613.0966,56439.12,enginr,Y
57,Chelsea Ellis,vrusso@yahoo.com,57,11/23/2022,U.K.,639-361-8167,88080.09,data analyst,
58,Eric Barnes,craig49@watkins.net,27,11/27/2020,UK,+1-819-236-9198,60877.63,Desginer,N
59,Timothy Sheppard,benjamin45@hotmail.com,,04/21/2024,United States,983-195-5038,952199.5392675484,Desginer,N
60,Ryan Miller,iporter@bradley.biz,,08/18/2021,Mexico,098-143-7549,50772.99,enginr,Y
61,Stephanie Hensley,eduardonorris@bauer.com,39,,Mexico,863-396-3853,91669.76,manager,No
62,Amy Wheeler,lkhan@yahoo.com,,07/22/2021,mexico,(192)033-3437x0501,N/A,Data Analyst,
63,Judith Brooks,hopkinscynthia@hotmail.com,,04/15/2021,Canada,192-731-4638,50666.44,Data Analyst,No
64,Kelly Hart,garciaedward@powell-wilson.com,,03/24/2023,U.K.,551-316-5973,54667.67,data analyst,N
65,Randall Jones,mariekennedy@hotmail.com,40,11/22/2022,canada,828-477-3314,33184.93,,No
