ID,Name,Email,Date Joined,Country,Phone Number,Salary,Job Title,Subscribed
1,Megan Lopez,nancy63@schmidt.com,1970-01-01 00:00:00,Canada,035-721-9686,43321.8,Data Analyst,N
2,Melissa Parker,uhorne@yahoo.com,2023-05-08,canada,535-010-5451,647835.3277034075,enginr,N
3,Joyce Smith,christinaclark@rivera.net,2022-12-21,Canada,368-679-8303,51429.3,Data Analyst,Y
4,  Audrey Edwards ,donaldcooper@gmail.com,2021-10-16,Mexico,678-875-1987,46138.76,Data Analyst,Y
5,Kayla Valdez,cduncan@maxwell.biz,2024-10-27,canada,267-788-6284,983923.2046556688,enginr,N
6,Jeffery Martin,tracyjohnson@gmail.com,2024-11-07,USA,(673)260-2673,65913.5,Data Analyst,N
7,Glenn Norton,andreahicks@parker-williams.com,1970-01-01 00:00:00,Germany,1811968548,44676.72,Designer,N
8,Joyce Moore,kellyharrington@vargas.com,2023-08-09, Germny,021-015-6452,57573.67,Manager,Y
9,Kari Park,william50@yahoo.com,1970-01-01 00:00:00,Mexico,318-403-0372,63279.57,manager,Yes
10,Brenda Johnson,andrewchandler@gmail.com,2024-04-24,canada,685.050.5817,73226.42,manager,Y
11,Susan Giles,tiffany45@yahoo.com,1970-01-01 00:00:00,Mexico,612-378-4185,43041.72,data analyst,Yes
12,Johnny Miller,ann89@yahoo.com,2023-09-04,Germny,667-657-1761,620164.3323942033,Manager,Y
13,Chloe Hill,kaylafoster@miller.biz,2022-11-20,mexico,063-860-5668,56892.51,Data Analyst,Y
14,Robert Hansen,mark59@bates.org,2025-07-02,Canada,677-019-7880,62525.115000000005,Data Analyst,Yes
15,Brian Martin MD,qgreen@yahoo.com,2025-07-29,Germny,927-994-1179,50647.84,manager,N
16,Jonathan Brown,brandy99@bryant.com,2023-08-22,Canada,874-907-1846,82431.51,Data Analyst,N
17,Shawn Molina,robert52@gmail.com,2022-04-16,UK,+1-079-220-1256x89001,650727.187798998,data analyst,N
18,Tina Jordan,lindseyjohnson@hotmail.com,2020-08-13,Mexico,550-072-3520,51983.75,Manager,No
19,Mary Hobbs,fernandezdavid@burton.com,2023-02-21,U.K.,629-818-9127,37574.19,Engineer,Yes
20,Elizabeth Richardson,cameronherring@hotmail.com,2024-01-03,canada,088-587-3744,80577.93,Manager,N
21,Jennifer Mitchell,jameswoods@gmail.com,2023-09-12,Canada,946-043-2421,62633.3,Engineer,N
22,andrew lewis,steven21@gmail.com,2021-04-17,canada,525-258-5475,54067.25,Engineer,No
23,Deborah Sosa,smithchad@martin.com,2024-06-26,UK,892-886-5798,55662.95,Data Analyst,N
24,Gary Rubio,kendra99@lewis.com,2023-07-09,U.K.,083-368-4599,439120.2248346514,Data Analyst,N
25,Tracy Moore,ajones@stuart.com,2024-01-21,U.K.,001-826-420-0116x93007,45111.21,Designer,Yes
26,Steve Welch,zfuller@hotmail.com,2021-05-17,canada,774-623-1740,71509.45,manager,N
27,Theresa Wong,nevans@hotmail.com,2024-01-26,mexico,168-760-6231,42753.11,Designer,N
28,Dr. Maurice Oconnor,shieldstodd@brown.com,2023-02-01,United States,380-759-0830,855990.7430517694,Manager,N
29,Nancy Chang,sarah99@yahoo.com,2022-06-20,Germany,010-275-7956,73103.84,Data Analyst,Yes
30,Samantha Hughes,morgancourtney@sharp.biz,2024-08-22,Germny,567-801-8365,54648.82,Designer,N
31,Brandy Patel,xhall@johnson-williamson.com,2022-02-25,U.K.,424-328-2921,68341.83,enginr,N
32,Amy Leonard,johnstonrebekah@gmail.com,2023-06-11,mexico,378-209-4181,79490.95,data analyst,Y
33,David Bowman,njordan@yahoo.com,2021-06-03,United States,361-552-0362,62525.115000000005,Engineer,N
34,Heather Riley,townsendtrevor@clark.net,2023-09-02,Germny,010-742-7557,62525.115000000005,data analyst,No
35,Brian Spencer,brandon46@gmail.com,2025-05-27,Germny,9392163603,46992.81,Desginer,N
36,John Sanchez,gshelton@yahoo.com,2021-07-29,Germany,014-988-7867,48732.31,Data Analyst,N
37,Jonathan Ali,lisa41@hotmail.com,2024-09-24,Canada,686-884-7096,43043.58,Data Analyst,Yes
38,Kevin Elliott,carrolljill@yahoo.com,2023-01-09,U.K.,235-545-5204,73180.1,data analyst,Yes
39,Kathryn Little,rjenkins@gmail.com,2021-05-30,United States,946-875-0657,56406.08,Desginer,Y
40,Kenneth Huynh,sandra32@williams.org,2024-07-14,UK,225-398-7899x84488,58138.01,Data Analyst,N
41,Melissa Knight,williamgilbert@gmail.com,2024-04-03,Canada,908-993-8717,71105.11,Manager,N
42,Ricky Lee,ogarcia@winters.com,2024-01-15,Germny,262-455-6795,69451.12,enginr,N
43,Jessica Molina,wellsluis@gonzalez-patterson.biz,2023-11-27,United States,263-947-8669,86444.06,Data Analyst,N
44,Richard Gray,alexander80@gmail.com,2021-11-18,Germny,145-986-0096,73576.83,manager,No
45,Keith Horton,markchapman@yahoo.com,2020-10-26,Canada,743-862-6275,50941.43,manager,Yes
